# Touloukian
293 0.000 13.4
400 0.150 14.5
500 0.299 15.3
600 0.455 15.9
700 0.617 16.4
800 0.783 16.8
900 0.953 17.1
1000 1.126 17.4
1100 1.302 17.8
1200 1.483 18.3
1300 1.669 18.9
1400 1.861 19.5
1500 2.060 20.0


#The old one is: QC171.P83 (phy)
#The new one "Properties of selected ferrous alloying elements", 1989: TA479.3.P73 (ems)
#$ T (K)          10-6 K-1
1    0.001
4    0.043
7    0.043
10    0.044 -0.229
15    0.065
20    0.11
25    0.20
30    0.30 -0.229
40    0.80
50    1.5 -0.227
60    2.4
70    3.8
80    4.9
90    5.8
100    6.6 -0.206
150    9.6 -0.166
200    11.3 -0.113
250    12.3 -0.054
273    12.7
293    13.0 -0.000
300    13.1
350    13.6
400    14.2 0.145
500    15.3 0.293
525    15.7
550    16.1
575    16.5
600    17.0 0.454
610    17.2
620    17.7
625    18.9
630    18.1
640    16.9
650    16.5
675    16.4
700    16.5 0.624
800    16.9 0.791
900    17.7 0.961
1000    18.5 1.145
1100    19.4 1.334
1200    20.4 1.533
1400    22.4 1.961
1500    23.4 2.190
1600    24.5 2.430
1728    25.7 2.752

