2.900000 0.000000 0.000000
0.000000 2.900000 0.000000
0.000000 0.000000 2.900000
1.500000 0.500000 -1.500000
1.500000 2.500000 1.500000
3.000000 -1.000000 2.000000
6.000000 2.000000 2.000000 Ti
4.000000 -0.000000 2.000000 Zr
1.500000 1.500000 0.500000 Ti
2.000000 2.000000 1.000000 Ti
1.000000 0.000000 0.000000 Zr
1.500000 0.500000 0.500000 Zr
2.000000 1.000000 1.000000 Ti
2.500000 1.500000 1.500000 Ti
3.000000 2.000000 2.000000 Ti
2.000000 -0.000000 1.000000 Zr
2.500000 0.500000 1.500000 Zr
3.000000 1.000000 2.000000 Zr
3.500000 1.500000 2.500000 Ti
2.500000 -0.500000 1.500000 Zr
3.000000 0.000000 2.000000 Zr
3.500000 0.500000 2.500000 Ti
4.000000 1.000000 3.000000 Zr
5.000000 1.000000 2.000000 Ti
2.500000 2.500000 0.500000 Ti
1.500000 0.500000 -0.500000 Zr
2.000000 1.000000 0.000000 Zr
2.500000 1.500000 0.500000 Zr
3.000000 2.000000 1.000000 Zr
2.000000 0.000000 0.000000 Zr
2.500000 0.500000 0.500000 Ti
3.000000 1.000000 1.000000 Zr
3.500000 1.500000 1.500000 Ti
4.000000 2.000000 2.000000 Zr
3.000000 -0.000000 1.000000 Ti
3.500000 0.500000 1.500000 Ti
4.000000 1.000000 2.000000 Ti
4.500000 1.500000 2.500000 Ti
3.500000 -0.500000 1.500000 Zr
2.000000 1.000000 -1.000000 Ti
2.500000 1.500000 -0.500000 Zr
3.000000 2.000000 -0.000000 Zr
3.500000 2.500000 0.500000 Ti
2.500000 0.500000 -0.500000 Zr
3.000000 1.000000 -0.000000 Zr
3.500000 1.500000 0.500000 Ti
4.000000 2.000000 1.000000 Ti
3.000000 -0.000000 0.000000 Ti
3.500000 0.500000 0.500000 Zr
4.000000 1.000000 1.000000 Ti
4.500000 1.500000 1.500000 Ti
5.000000 2.000000 2.000000 Zr
4.000000 -0.000000 1.000000 Zr
4.500000 0.500000 1.500000 Ti
