# P. Hultgren, P. D. Desai, D. T. Hawkins,
# M. Gleiser, K. K. Kelley, and D. D. Wagman,
# Selected Values of the Thermodynamic Properties
# of the Elements 
# (American Society for Metals, 1973).
0.1 0.0000166
0.5 0.0000845
1 0.000177
2 0.000423
3 0.000806
4 0.00139
5 0.00225
10 0.0133
15 0.0439
20 0.110
25 0.230
30 0.405
40 0.894
50 1.471
75 2.843
100 3.825
150 4.901
200 5.408
250 5.684
298.15 5.840 0
400 6.036 605
500 6.192 1217
600 6.328 1843
700 6.451 2482
800 6.570 3133
900 6.703 3797
1000 6.850 4475
1100 7.046 5169
1200 7.296 5886
1300 7.687 6634
1356.55 7.97 7077


# G. K. White and S. J. Collocott
# J. Phys. Chem. Ref. Data, 13, 1251(1984).
10 0.0555 x
12 0.0936 x
14 0.149 x
16 0.225 x
18 0.328 x
20 0.462 x
25 0.963 x
30 1.693 x
35 2.64 x
40 3.74 3.74
50 6.15 6.14
60 8.595 8.58
70 10.86 10.83
80 12.85 12.80
90 14.56 14.49
100 16.01 15.91
120 18.25 18.11
140 19.87 19.65
160 21.05 20.78
180 21.94 21.59
200 22.63 22.23
220 23.17 22.72
240 23.60 23.07
260 23.94 23.36
280 24.22 23.58
300 24.45 23.74
350 24.88 24.02
400 25.25 24.23
450 25.61 24.44
500 25.91 24.58
550 26.21 24.70
600 26.48 24.79
650 26.73 24.87
700 26.99 24.94
800 27.48 25.03
900 28.04 25.15
1000 28.66 25.30
1100 29.48 25.57
1200 30.53 25.98
1250 31.12 26.22
1300 32.16 26.80


#Y. A. Chang and L. Himmel,
# J. Appl. Phys. 37, 3567 (1966).
300 138.5 7.44
350 137.0 7.56
400 135.5 7.69
450 134.5 7.80
500 133.0 7.93
550 131.5 8.06
600 130.0 8.19
650 129.0 8.33
700 127.5 8.47
750 126.0 8.63
800 125.0 8.77
