Titanium Oxide, Anatase (TiO2)	O2Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-8.627	-933.837	-933.837	INFINITE
100	19.159	9.623	89.203	-7.958	-936.632	-919.438	480.265
200	41.865	30.501	54.580	-4.816	-938.318	-901.476	235.441
298.15	55.271	49.907	49.907	0.000	-938.722	-883.266	154.745
300	55.471	50.249	49.908	0.102	-938.721	-882.922	153.730
400	63.593	67.433	52.195	6.095	-938.313	-864.368	112.875
500	68.145	82.156	56.753	12.702	-937.506	-845.970	88.378
600	70.890	94.842	62.069	19.664	-936.529	-827.753	72.062
700	72.655	105.911	67.559	26.846	-935.488	-809.706	60.421
800	73.860	115.696	72.976	34.176	-934.421	-791.810	51.700
900	74.726	124.448	78.218	41.607	-933.386	-774.046	44.924
1000	75.354	132.355	83.242	49.112	-932.464	-756.393	39.510
1100	75.814	139.559	88.039	56.672	-931.729	-738.823	35.084
1200	76.191	146.172	92.612	64.272	-935.171	-721.191	31.393
1300	76.484	152.283	96.970	71.907	-934.101	-703.403	28.263
1400	76.735	157.960	101.126	79.568	-933.112	-685.695	25.584
1500	76.944	163.262	105.094	87.252	-932.219	-668.054	23.264
1600	77.111	168.233	108.886	94.955	-931.438	-650.470	21.236
1700	77.237	172.912	112.516	102.673	-930.785	-632.930	19.448
1800	77.362	177.330	115.995	110.403	-930.274	-615.425	17.859
1900	77.446	181.515	119.335	118.143	-929.921	-597.943	16.439
2000	77.530	185.490	122.544	125.892	-944.427	-580.022	15.149


Nickel (Ni)	Ni1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.786	0.	0.	0.
100	13.631	7.454	50.235	-4.278	0.	0.	0.
200	22.468	20.200	32.143	-2.389	0.	0.	0.
250	24.397	25.432	30.290	-1.215	0.	0.	0.
298.15	25.987	29.870	29.870	0.	0.	0.	0.
300	26.024	30.031	29.871	0.048	0.	0.	0.
350	27.294	34.139	30.192	1.381	0.	0.	0.
400	28.493	37.863	30.922	2.776	0.	0.	0.
450	29.623	41.281	31.886	4.228	0.	0.	0.
500	31.045	44.473	32.986	5.743	0.	0.	0.
600	34.853	50.440	35.404	9.022	0.	0.	0.
631.000	39.832	52.263	36.187	10.144	Cp LAMBDA MAXIMUM
631.000	39.832	52.263	36.187	10.144	TRANSITION
700	30.794	55.575	37.941	12.344	0.	0.	0.
800	31.003	59.697	40.408	15.431	0.	0.	0.
900	31.589	63.382	42.759	18.560	0.	0.	0.
1000	32.217	66.742	44.992	21.750	0.	0.	0.
1100	32.928	69.845	47.112	25.007	0.	0.	0.
1200	33.681	72.742	49.128	28.336	0.	0.	0.
1300	34.518	75.471	51.051	31.746	0.	0.	0.
1400	35.397	78.061	52.888	35.241	0.	0.	0.
1500	36.317	80.534	54.649	38.827	0.	0.	0.
1600	37.279	82.908	56.342	42.506	0.	0.	0.
1700	38.284	85.199	57.972	46.286	0.	0.	0.
1728.000	38.535	85.827	58.419	47.361	CRYSTAL <--> LIQUID
1800	39.330	87.411	59.547	50.156	17.161 0.715  0.021
1900	42.677	89.637	61.072	54.275	-16.933	1.704	-0.047
2000	43.806	91.855	62.556	58.599	-16.501	2.674	-0.070
2100	44.978	94.021	64.003	63.038	-15.953	3.620	-0.090
2200	46.191	96.141	65.415	67.596	-15.286	4.536	-0.108
2300	47.447	98.222	66.797	72.278	-14.495	5.420	-0.123
2400	48.702	100.268	68.149	77.085	-13.579	6.267	-0.136
2500	49.957	102.281	69.474	82.018	-12.537	7.073	-0.148


Copper (Cu)	Cu1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-5.007	0.	0.	0.
