#Hultgre n
298 6.23 0
350 6.54 332
400 6.80 666
450 7.06 1012
500 7.37 1372
550 7.81 1752
600 8.31 2155
610 8.45 2239
620 8.66 2325
625 8.86 2369
631 9.30 2423
635 8.03 2458
640 7.84 2498
650 7.64 2575
700 7.37 2945
800 7.44 3685
900 7.64 4439
1000 7.88 5215
1100 8.11 6014
1200 8.34 6836
1300 8.54 7680
1400 8.65 8539
1500 8.65 9404
1600 8.65 10269
1700 8.65 11134
1726 8.65 11359


# P. D. Desai, Int. J. Thermophys. 8, 763 (1987).
10 0.0963
30 0.968
50 4.067
100 13.599
150 19.320
200 22.457
250 24.438
298.15 26.009 0
350 27.377 1386
400 28.484 2783
450 29.545 4233
500 30.790 5741
550 32.389 7318
600 34.753 8992
650 32.115 10758
700 30.817 12319
750 30.713 13856
800 30.838 15394
900 31.382 18503
1000 32.136 21678
1100 32.979 24933
1200 33.844 28274
1300 34.746 31704
1400 35.676 35225
1500 36.638 38841
1600 37.627 42554
1700 38.610 46366

